Institute ID,Name,City,State,Score,TLR,RPC,GO,OI,PERCEPTION,Year,Year_rank
IR-O-U-0190,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,39.53,43.21,23.06,64.69,54.6,12.52,2021,89
IR-O-U-0143,Maharaja Sayajirao University of Baroda,Vadodara,Gujarat,39.48,43.8,14.83,68.44,58.31,23.67,2021,90
IR-O-U-0225,KLE Academy of Higher Education and Research,Belagavi,Karnataka,39.44,57.64,9.98,49.27,61.36,31.74,2021,91
IR-O-U-0451,Chettinad Academy of Research and Education,"Kelambakkam, Chengalpattu District",Tamil Nadu,39.26,61.18,6.64,56.44,57.3,19.02,2021,92
IR-O-U-0050,Assam University,Silchar,Assam,39.21,52.68,13.32,63.79,48.04,18.51,2021,93
IR-O-U-0507,Dayalbagh Educational Institute,Agra,Uttar Pradesh,39.06,50.8,4.09,67.06,63.36,28.35,2021,94
IR-O-U-0744,Ashoka University,Sonepat,Haryana,39.02,57.91,3.2,60.0,76.49,10.41,2021,95
IR-O-U-0121,Goa University,Goa,Goa,38.96,48.86,15.05,60.91,55.96,20.01,2021,96
IR-O-U-0043,"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,38.92,49.4,15.25,60.65,56.03,18.0,2021,97
IR-O-U-0555,Graphic Era University,Dehradun,Uttarakhand,38.91,47.99,9.74,60.76,62.23,32.17,2021,98
IR-O-U-0223,"Jain university, Bangalore",Bengluru,Karnataka,38.89,39.29,12.72,73.89,59.54,25.52,2021,99
IR-O-U-0564,University of Petroleum and Energy Studies,Dehradun,Uttarakhand,38.88,46.46,15.08,60.13,61.98,21.9,2021,100
IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,84.18,82.22,92.16,82.89,52.84,100.0,2020,1
IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,70.16,74.98,44.8,100.0,75.1,67.24,2020,2
IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,63.15,70.91,44.89,85.65,58.76,53.99,2020,3
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,62.27,69.65,52.11,73.66,65.83,44.33,2020,4
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,61.99,53.38,52.96,90.39,48.67,71.44,2020,5
IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,61.7,71.15,42.93,81.18,54.01,58.32,2020,6
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,61.53,59.26,48.58,91.03,61.66,47.99,2020,7
IR-O-U-0234,Manipal Academy of Higher Education,Manipal,Karnataka,61.51,75.44,42.62,75.36,66.21,43.95,2020,8
