Institute ID,Name,City,State,Score,TLR,RPC,GO,OI,PERCEPTION,Year,Year_rank
IR-3-O-OEA-C-26794,Thiagarajar College of Engineering,Madurai,Tamil Nadu,41.41,57.09,19.19,61.91,46.95,14.46,2018,95
IR-1-O-E-C-41593,College of Engineering,Pune,Maharashtra,40.74,55.86,17.22,62.43,51.12,12.07,2018,96
IR-1-O-D-C-47762,Mahatma Gandhi Medical College and Research Institute,Puducherry,Pondicherry,40.72,72.43,5.83,50.15,69.66,2.4,2018,97
IR-1-O-O-U-0121,Goa University,Goa,Goa,40.66,59.83,13.77,66.09,51.58,2.01,2018,98
IR-1-O-O-U-0253,Cochin University of Science and Technology,Cochin,Kerala,40.53,47.72,24.36,62.94,44.19,18.88,2018,99
IR-2-O-OE-U-0098,Delhi Technological University,New Delhi,Delhi,40.52,47.77,24.12,62.86,48.83,15.04,2018,100
IR17-I-2-18243,Indian Institute of Science Bangalore,Bengaluru,Karnataka,83.28,83.11,87.59,87.97,61.48,83.33,2017,1
IR17-I-1-1-77,Indian Institute of Technology Madras,Chennai,Tamil Nadu,73.97,69.49,72.6,84.02,76.75,68.7,2017,2
IR17-I-2-18633,Indian Institute of Technology Bombay,Mumbai,Maharashtra,71.78,64.68,78.14,70.07,65.8,83.44,2017,3
IR17-I-2-18630,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,68.43,55.07,70.46,85.11,72.85,64.72,2017,4
IR17-I-2-1-79,Indian Institute of Technology Delhi,New Delhi,Delhi,64.18,55.45,68.48,65.92,68.69,69.53,2017,5
IR17-I-2-1-319,Jawaharlal Nehru University,New Delhi,Delhi,61.53,62.11,33.96,98.71,82.4,47.27,2017,6
IR17-I-2-18248,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,60.69,60.07,62.14,58.34,60.01,63.62,2017,7
IR17-I-2-1-251,Indian Institute of Technology Guwahati,Guwahati,Assam,60.37,65.53,47.46,78.28,79.28,28.79,2017,8
